Belgium,"Waregem, Brussels","Attended a wreath-laying ceremony at the Flanders Field American Cemetery. 
Attended a meeting of the Council of the European Union.","March 25–26, 2014",OBAMA
Italy,Rome,"Met with President Giorgio Napolitano and Prime Minister Matteo Renzi. 
Toured the Colosseum.","March 26–28, 2014",OBAMA
Vatican City,,"Audience with Pope Francis and a meeting with Secretary of State Cardinal 
Pietro Parolin.","March 27, 2014",OBAMA
Saudi Arabia,"Riyadh, Rawdat Khurain",Met with King Abdullah bin Abdel Aziz al-Saud.,"March 28–29, 2014",OBAMA
Germany,Ramstein Air Force Base,Visited wounded U.S. military personnel.,"March 29, 2014",OBAMA
Japan,Tokyo,"Met with Prime Minister Shinzo Abe and Emperor Akihito. Toured the National 
Museum of Emerging Science and Innovation. Toured the Meiji Jingu Shrine.","April 22–25, 2014",OBAMA
"Korea, Republic of",Seoul,"Met with President Park Geun-hye, attended a wreath-laying ceremony at the 
National War Memorial, and visited U.S. military personnel.","April 25–26, 2014",OBAMA
Malaysia,Kuala Lumpur,"Met with Prime Minister Najib Razak, toured the National Mosque and the 
Malaysian Global Innovation and Creativity Center.","April 26–28, 2014",OBAMA
Philippines,"Manila, Taguig","Met with President Benigno S. Aquino 3rd. Attended a wreath-laying ceremony 
at the American Manila Cemetery.","April 28–29, 2014",OBAMA
Afghanistan,Bagram,Toured the Joint Operating Center and met with U.S. military personnel.,"May 25, 2014",OBAMA
Germany,Ramstein Air Force Base,Stopped while returning to Washington.,"May 26, 2014",OBAMA
Poland,Warsaw,"Met with President Bronislaw Komorowski. Attended a Solidarity Dinner and a 
Freedom Day commemoration.","June 3–4, 2014",OBAMA
Belgium,Brussels,"Met with King Philippe and Prime Minister Elio Di Rupo. Attended meetings 
of the G-7 leaders.","June 4–5, 2014",OBAMA
France,"Paris, Omaha Beach, Benouville, Ouistreham","Met with President Francois Hollande. Attended ceremonies commemorating the 
70th anniversary of the Normandy landings. Discussed the Ukrainian 
situation with Russian President Vladimir Putin.","June 5–6, 2014",OBAMA
Estonia,Tallinn,Met with President Toomas Ilves and Prime Minister Taavi Roivas.,"September 3, 2014",OBAMA
United Kingdom (Wales),"Newport, Cardiff",Attended a NATO Summit Meeting. Also visited Stonehenge.,"September 3–5, 2014",OBAMA
"China, People’s Republic of",Beijing,"Attended the Asia Pacific Economic Cooperation CEO Summit Meeting and the 
Trans Pacific Partnership Leaders Meeting.","November 10–12, 2014",OBAMA
Burma,"Nay Pyi Taw, Rangoon","Attended a United States-Association of Southeast Asian Naations Summit 
Meeting.","November 12–14, 2014",OBAMA
Australia,Brisbane,Attended a G-20 Summit Meeting.,"November 15–16, 2014",OBAMA
Germany,Ramstein Air Force Base,Stopped en route to India.,"January 24, 2015",OBAMA
India,New Delhi,Met with President Pranab Mukherjee and Prime Minister Narendra Modi.,"January 24–27, 2015",OBAMA
Saudi Arabia,Riyadh,Met with King Salman bin Abdel Aziz al-Saud and senior officials.,"January 27, 2015",OBAMA
Germany,Ramstein Air Force Base,Stopped while returning to Washington.,"January 27, 2015",OBAMA
Jamaica,Kingston,Attended a CARICOM meeting.,"April 8–9, 2015",OBAMA
Panama,Panama City,Attended a Summit of the Americas meeting.,"April 9–11, 2015",OBAMA
Germany,"Munich, Krun, Elmau",Attended the G-7 Summit Meeting.,"June 7–8, 2015",OBAMA
Germany,Ramstein Air Force Base,"Stopped en route to Nairobi, Kenya.","July 24, 2015",OBAMA
Kenya,Nairobi,"Attended Global Entrepreneurship Summit and met with President Uhuru 
Kenyatta. Attended a State dinner.","July 24–26, 2015",OBAMA
Ethiopia,Addis Ababa,"Attended a meeting on South Sudan and Counterterrorism Issues and met with 
Prime Minister Hailemariam Desalegn (State dinner). Addressed the African 
Union.","July 26–28, 2015",OBAMA
